x,y,z,avg,diff,localdata
-1.78549,-0.257614,8.2709,88.4528,-3.1535,-0.0888519,0
-2.5007,-0.585433,8.9686,87.0021,-1.45074,-0.142929,0
-3.00455,-0.521066,8.65246,86.5833,-0.418777,-0.178284,0
-3.18912,-0.52885,9.10018,87.7228,1.13947,0.40538,0
-3.49014,-1.2496,9.84548,90.1733,2.45046,-0.394943,0
-3.20079,-1.15365,8.23078,90.1737,0.000434875,0.219681,0
-3.46904,-1.46755,8.17974,89.1843,-0.989426,0.385941,0
-3.72231,-1.39824,9.00318,88.8819,-0.302376,0.281433,0
-3.98995,-1.82276,8.80245,88.7543,-0.127602,0.333633,0
-3.9184,-1.49838,9.40599,90.4452,1.69093,-0.175156,0
-4.1859,-1.40812,8.44469,92.2689,1.82372,-0.16011,0
-4.16389,-1.25783,7.85641,92.797,0.528038,-0.0583344,0
-4.26837,-0.898132,7.34972,91.79,-1.00694,-0.35434,0
-4.35699,-0.722547,8.13274,88.6011,-3.1889,0.0410156,0
-4.04938,-0.630639,7.82049,86.4507,-2.15044,0.0449295,0
-3.31471,-0.841251,6.9029,85.8957,-0.554985,-0.186043,0
-2.84004,-0.678988,7.60464,85.5642,-0.331543,-0.0185776,0
-2.64829,-0.49532,9.08626,85.7384,0.174179,0.0285492,0
-3.08673,-0.587828,10.1242,87.5014,1.76306,0.292542,0
-3.61004,-0.753383,9.51002,88.175,0.673576,-0.203537,0
-3.65151,-0.75039,8.76996,86.9333,-1.2417,0.263016,0
-3.62322,-0.982257,8.67551,87.5605,0.627197,0.0543518,0
-3.54463,-1.07042,8.69482,88.0739,0.513382,0.166306,0
-3.37533,-0.932561,8.62476,87.4352,-0.63868,-0.502609,0
-3.34375,-1.04662,8.44529,86.6148,-0.820389,-0.348343,0
-3.6542,-1.22595,8.76802,85.7187,-0.896088,0.220642,0
-3.97169,-1.2258,8.51429,85.6533,-0.0654526,-0.14711,0
-4.08096,-1.27744,8.00371,85.7597,0.106384,-0.0906067,0
-3.61738,-1.37863,8.58854,86.7412,0.981567,0.280106,0
-3.42173,-1.32954,8.57686,86.8282,0.0869751,-0.228767,0
-3.1999,-1.57667,8.66668,87.4458,0.617584,0.0614166,0
-3.37443,-1.60317,8.50741,89.1325,1.68674,0.18676,0
-3.65136,-1.3701,8.59243,90.5501,1.41763,0.0977173,0
-3.61034,-0.920586,8.37493,90.1878,-0.362328,0.2761,0
-3.3397,-0.958008,7.97137,87.8904,-2.29741,0.0253143,0
