Counter, Data, Peaks
1243,-88108,
1244,-57816,
1245,-57148,
1246,-45494,
1247,-35713,
1248,-24080,
1249,-8391,
1250,10063,
1251,22770,
1252,58185,
1253,103722,
1254,107180,107180,
1255,49165,
1256,13354,
1257,13871,
1258,49226,
1259,69702,
1260,86326,
1261,112751,
1262,89747,
1263,49438,
1264,21460,
1265,-41936,
1266,-68150,
1267,-72845,
1268,-57244,
1269,-34493,
1270,-21630,
1271,-12994,
1272,-13161,
1273,-12888,
1274,-14675,
1275,-19726,
1276,-20473,
1277,-15862,
1278,-1177,
1279,15540,
1280,10807,
1281,3907,
1282,19549,
1283,40503,
1284,43965,
1285,6818,
1286,-9753,
1287,27337,
1288,42776,
1289,27109,
1290,-21134,
1291,-65575,
1292,-98726,
1293,-114268,
1294,-88256,
1295,-58957,
1296,-60378,
1297,-42911,
1298,-35612,
1299,-16821,
1300,-8008,
1301,-59,
1302,12455,
1303,30437,
1304,69300,
1305,105063,105063,
1306,71376,
1307,26809,
1308,16525,
1309,42493,
1310,69595,
1311,84967,
1312,117101,
1313,108730,
1314,56746,
1315,-1237,
1316,-49525,
1317,-65351,
1318,-59099,
1319,-51092,
1320,-37895,
1321,-28075,
1322,-24883,
1323,-21772,
1324,-18724,
1325,-24114,
1326,-20197,
1327,-22060,
1328,-16036,
1329,464,
1330,9050,
1331,1240,
1332,4905,
1333,26524,
1334,63157,
1335,82716,
1336,44655,
1337,1068,
1338,5037,
1339,40166,
1340,31447,
1341,-24579,
1342,-64816,
1343,-97399,
1344,-129021,
1345,-120711,
1346,-90151,
1347,-64161,
1348,-43315,
1349,-30032,
1350,-17779,
1351,-1171,
1352,11932,
1353,24079,
1354,52920,
1355,91491,91491,
1356,73330,
1357,29078,
1358,15765,
1359,46802,
1360,86550,
1361,98114,
1362,92703,
1363,82158,
1364,82258,
1365,6333,
1366,-32170,
1367,-68839,
1368,-80213,
1369,-75332,
1370,-53878,
1371,-49193,
1372,-34159,
1373,-11177,
1374,-13735,
1375,-14715,
1376,-18418,
1377,-18166,
