-0.389,0.252,0.740
-0.457,0.318,0.801
-0.490,0.408,0.953
-0.504,0.523,1.012
-0.537,0.547,0.982
0.547,-0.037,1.590
0.016,0.533,0.787
-0.314,0.312,1.023
0.631,-1.187,-0.547
-0.408,0.092,2.373
-0.824,-0.205,0.285
-0.059,-0.180,1.869
-0.486,-0.107,1.707
-0.643,0.219,1.738
-0.635,0.307,1.729
-0.463,0.199,1.662
-0.287,0.094,1.521
-0.203,0.051,1.416
-0.307,0.070,1.354
-0.340,0.180,1.225
-0.125,0.131,1.105
-0.107,0.070,0.934
-0.104,0.031,0.799
-0.113,0.029,0.678
-0.070,0.057,0.605
0.059,-0.102,0.619
-0.043,-0.035,0.439
-0.020,0.047,0.248
-0.139,0.141,0.234
0.004,0.066,0.420
-0.049,0.066,0.467
-0.158,0.049,0.502
-0.186,0.051,0.553
-0.137,0.053,0.611
-0.115,0.076,0.725
-0.207,0.082,0.969
-0.168,0.105,1.064
-0.203,0.100,1.209
-0.164,0.059,1.355
-0.232,0.074,1.484
-0.283,0.133,1.701
-0.287,0.303,1.715
-0.273,0.465,1.727
-0.242,0.559,1.729
-0.187,0.576,1.676
-0.187,0.480,1.621
-0.213,0.311,1.625
-0.236,0.252,1.566
-0.205,0.201,1.469
-0.105,0.221,1.412
-0.107,0.273,1.344
-0.154,0.258,1.232
-0.164,0.092,1.137
-0.182,0.070,1.010
-0.141,0.080,0.900
-0.334,0.252,0.861
-0.471,0.371,0.818
-0.488,0.375,0.865
-0.502,0.328,0.879
-0.518,0.312,0.893
-0.475,0.350,0.898
-0.502,0.350,1.002
-0.533,0.340,1.123
-0.502,0.312,1.373
-0.580,0.359,1.545
-0.549,0.445,1.707
-0.357,0.340,1.707
-0.410,0.219,1.834
-0.449,0.178,1.889
-0.498,0.195,1.984
-0.508,0.211,1.992
-0.430,0.172,1.949
-0.270,0.078,1.814
-0.096,0.000,1.631
-0.041,0.014,1.449
0.000,0.023,1.238
0.082,-0.021,1.033
0.168,-0.035,0.887
0.131,-0.023,0.662
0.059,0.063,0.604
0.082,0.162,0.613
0.045,0.084,0.521
-0.025,-0.025,0.498
-0.063,0.084,0.393
-0.039,0.145,0.385
-0.031,0.137,0.443
-0.057,0.068,0.508
-0.035,-0.055,0.520
-0.043,-0.107,0.607
-0.109,-0.092,0.684
-0.119,0.021,0.896
-0.166,0.135,1.189
-0.143,-0.027,1.275
-0.002,-0.262,1.455
-0.332,-0.279,1.502
-0.461,0.092,1.719
-0.385,0.363,1.742
-0.342,0.318,1.750
-0.426,0.236,1.750
-0.514,0.205,1.670
-0.529,0.189,1.631
-0.637,0.258,1.648
-0.615,0.219,1.625
-0.574,0.221,1.506
-0.482,0.176,1.396
-0.393,0.139,1.299
-0.326,0.086,1.281
-0.295,0.152,1.162
-0.344,0.182,0.998
-0.414,0.187,0.842
-0.479,0.166,0.689
-0.436,0.187,0.646
-0.346,0.189,0.734
-0.389,0.152,0.773
-0.449,0.197,0.859
-0.520,0.148,0.879
-0.520,0.092,1.150
-0.520,0.033,1.248
-0.564,0.023,1.186
-0.555,-0.020,1.229
-0.572,-0.016,1.441
-0.609,0.176,1.744
-0.418,0.242,1.816
-0.309,0.191,1.770
-0.434,0.117,1.811
-0.510,0.127,1.902
-0.408,0.080,1.855
-0.377,-0.025,1.799
-0.365,-0.041,1.801
-0.021,-0.037,1.713
-0.168,0.021,1.449
-0.072,-0.100,1.260
-0.043,-0.061,1.111
-0.146,0.086,1.010
-0.086,0.053,0.830
-0.084,-0.084,0.688
0.016,-0.252,0.529
-0.018,0.063,0.563
-0.010,0.123,0.482
0.064,0.113,0.432
0.023,0.039,0.385
0.068,-0.074,0.328
0.002,-0.025,0.369
-0.031,0.059,0.436
-0.057,0.170,0.531
-0.475,0.100,0.867
-0.047,0.063,0.875
-0.123,0.035,1.004
-0.248,0.092,1.248
-0.307,0.119,1.346
-0.367,0.156,1.418
-0.406,0.129,1.576
-0.479,0.174,1.615
-0.545,0.250,1.623
-0.588,0.275,1.686
-0.574,0.240,1.680
-0.484,0.162,1.588
-0.348,-0.182,1.469
-0.396,0.016,1.549
-0.404,0.215,1.527
-0.521,1.195,0.863
0.482,0.393,2.160
-0.006,-0.166,1.074
-0.432,0.078,-0.088
-0.477,0.098,0.955
-0.322,0.020,0.879
-0.086,0.869,0.477
-0.447,0.334,0.834
-0.354,0.240,0.795
-0.416,0.176,0.889
-0.520,0.223,0.920
-0.553,0.248,0.973
-0.506,0.262,0.975
-0.506,0.209,1.002
-0.482,0.111,1.109
-0.459,0.084,1.285
-0.461,0.070,1.465
-0.555,0.100,1.641
-0.561,0.064,1.723
-0.711,-0.104,1.807
-0.756,0.049,2.004
-0.602,0.205,2.096
-0.342,0.197,1.963
-0.182,0.143,1.879
-0.129,0.145,1.807
-0.072,0.068,1.637
-0.105,-0.023,1.469
-0.141,-0.023,1.355
-0.115,0.014,1.180
-0.066,0.012,1.002
-0.053,0.031,0.850
-0.031,0.045,0.756
-0.025,0.072,0.664
0.031,0.025,0.551
-0.027,0.066,0.439
-0.033,0.082,0.439
0.049,0.107,0.807
-0.084,0.107,0.342
-0.020,0.053,0.418
-0.105,0.080,0.459
-0.084,0.016,0.469
-0.064,-0.039,0.545
-0.070,-0.043,0.715
-0.082,-0.045,0.883
-0.059,-0.109,1.027
-0.086,-0.145,1.166
0.422,1.348,2.092
-0.221,0.100,1.617
-0.199,0.211,1.662
-0.293,0.229,1.719
